Question ID: 31
Question: 在21世纪20年代的某一年，一个负责文化遗产保护的国家机构发布了一项人才项目管理办法。同年，一个由两国合作研制、用于捕捉宇宙短暂现象的空间探测器也取得了重要观测成果。将该探测器送入轨道的运载火箭型号，因其高可靠性而获得过荣誉，它也曾将另一颗开启了其所属国自然资源陆海统筹新时代的海洋观测卫星送入太空。请问，这颗海洋观测卫星的发射年份是哪一年？在同一年，前述的那个文化遗产保护机构在全国范围内部署了打击文物犯罪的专项行动。直接回答数字

Reasoning:
Thinking Process:

1.  **Analyze the Request:**
    *   Role: Rigorous Q&A assistant.
    *   Constraint: Direct answer only, no reasoning, no extra explanation, no formatting.
    *   Input: A riddle-like description involving events in the 2020s (21 世纪 20 年代).
    *   Target: A specific year (number).

2.  **Deconstruct the Clues:**
    *   **Timeframe:** 2020s (2020-2029).
    *   **Clue 1 (Cultural Heritage):** A national institution responsible for cultural heritage protection released a "Talent Project Management Measures" (人才项目管理办法) in a specific year.
    *   **Clue 2 (Space Probe):** In the *same year*, a space detector developed by two countries for capturing transient cosmic phenomena achieved important observation results.
    *   **Clue 3 (Rocket):** The launch vehicle that sent this detector into orbit is known for high reliability and has received honors.
    *   **Clue 4 (Ocean Satellite):** The same rocket model also launched another ocean observation satellite that opened a new era of land-sea coordination of natural resources for its country.
    *   **Clue 5 (Action Plan):** In the *same year* as the ocean satellite launch (which is the target year), the cultural heritage institution deployed a special action to combat cultural relic crimes nationwide.
    *   **Question:** What is the launch year of the ocean observation satellite? (Which is also the year of the special action against relic crimes).

3.  **Identify the Space Probe (Clue 2):**
    *   "Two countries cooperation" (两国合作研制).
    *   "Capturing transient cosmic phenomena" (捕捉宇宙短暂现象).
    *   "Important observation results in the 2020s".
    *   Candidate: SVOM (Space Variable Objects Monitor). It's a collaboration between China (CNSA) and France (CNES). It aims to detect gamma-ray bursts (transient phenomena).
    *   Launch date of SVOM: June 2024.
    *   Wait, let's check other candidates. Einstein Probe (EP)? Launched Jan 2024. It's CAS (China) + ESA (Europe) collaboration? Mostly CAS led, with ESA support. SVOM is more distinctly "two countries" (China-France).
    *   Let's check the "Talent Project Management Measures" clue first to narrow down the year.

4.  **Identify the Cultural Heritage Institution & Talent Project (Clue 1):**
    *   Institution: National Cultural Heritage Administration (国家文物局).
    *   Document: "Talent Project Management Measures" (人才项目管理办法).
    *   Search query mental simulation: "国家文物局 人才项目管理办法 2020s".
    *   Possible document: 《国家文物局专家库管理办法》? 《全国文物行业人才项目管理办法》?
    *   Actually, there is a specific document: 《国家文物局青年英才项目管理办法》or similar?
    *   Let's look for "国家文物局 人才 管理办法 2023" or "2022".
    *   In 2023, the National Cultural Heritage Administration issued《国家文物局关于发布〈国家文物局青年英才项目管理办法〉的通知》? Or maybe《文物行业人才项目管理办法》?
    *   Let's consider the "Special Action to Combat Cultural Relic Crimes" (打击文物犯罪专项行动).
    *   The National Cultural Heritage Administration often collaborates with the Ministry of Public Security.
    *   There was a "Special Action to Combat Cultural Relic Crimes" (打击文物犯罪专项行动) deployed in **2023**? Or **2021**?
    *   In 2021, there was a three-year action plan.
    *   In 2023, there might be a specific deployment.
    *   Let's search for the specific phrase "在全国范围内部署了打击文物犯罪的专项行动" (deployed a special action to combat cultural relic crimes nationwide).
    *   Common knowledge: The Ministry of Public Security and National Cultural Heritage Administration often launch these.
    *   Key event: 2023?
    *   Let's look at the Space Probe again.
    *   SVOM (中法天文卫星) was launched in **2024** (June 22, 2024).
    *   Einstein Probe (爱因斯坦探针) was launched in **2024** (January 9, 2024).
    *   If the year is 2024:
        *   Did the National Cultural Heritage Administration release a talent project measure in 2024?
        *   Did they deploy a special action against relic crimes in 2024?
    *   If the year is 2023:
        *   Probe? Maybe not SVOM.
    *   Let's reconsider the "Two Countries" probe.
    *   SVOM (China-France). Launch: 2024.
    *   Is there a 2023 probe?
    *   What about the rocket?
    *   SVOM was launched by **Long March 2C** (长征二号丙).
    *   Einstein Probe was launched by **Long March 2C** (长征二号丙).
    *   Long March 2C is known as the "Golden Cow" (金牌火箭) for high reliability.
    *   Clue 4: The same rocket model launched an ocean observation satellite that opened a new era of land-sea coordination of natural resources.
    *   Ocean Observation Satellite + Land-Sea Coordination (自然资源陆海统筹).
    *   Candidate: **Haiyang-3D** (海洋三号 D 星)? Launched 2021.
    *   Candidate: **Haiyang-2C**?
    *   Candidate: **Zhongxing**?
