Question ID: 15
Question: There is an animated series adapted from an action video game franchise created by a well-known Japanese entertainment company. This company, which has produced several influential game series, was established in the late 20th century. In which year was this company founded? Answer with Arabic numerals(i.e. 2026).

Reasoning:
Thinking Process:

1.  **Analyze the Request:**
    *   Target: A specific year (Arabic numerals).
    *   Clues:
        *   Animated series adapted from an action video game franchise.
        *   Franchise created by a well-known Japanese entertainment company.
        *   Company produced several influential game series.
        *   Company established in the late 20th century.
    *   Constraint: Direct answer, no reasoning, no extra text.

2.  **Identify the Company:**
    *   "Animated series adapted from an action video game franchise" is a bit generic (could be Resident Evil, Devil May Cry, Street Fighter, Final Fantasy, etc.).
    *   "Well-known Japanese entertainment company".
    *   "Produced several influential game series".
    *   "Established in the late 20th century".
    *   Common candidates: Capcom, Square Enix, Konami, Sega, Nintendo (too early), Sony (too broad/late for game specific founding sometimes).
    *   Let's look for a specific match that fits "animated series adapted from an action video game franchise" prominently.
    *   *Resident Evil* (Capcom) has multiple animated series (Infinite Darkness, etc.).
    *   *Castlevania* (Konami) has a famous animated series (Netflix).
    *   *Devil May Cry* (Capcom) has an anime.
    *   *Street Fighter* (Capcom) has anime.
    *   *Final Fantasy* (Square/Square Enix) has animated movies/series.
    *   *Sonic* (Sega) has many series.
    *   *Pokemon* (Nintendo/Game Freak) has many series (but Pokemon is not primarily "action video game franchise" in the same sense as hack-and-slash or shooter, though it has action elements).
    *   The clue "animated series adapted from an action video game franchise" might refer to a specific recent popular one or a general description. However, the core question is about the *company's founding year*.
    *   Let's consider **Capcom**. Founded June 11, 1979 (as I.R.M. Corporation) or 1983 (as Capcom Co., Ltd.). Usually cited as 1979 or 1983.
    *   Let's consider **Konami**. Founded March 19, 1969 (as Konami Industry Co., Ltd.). That's late 60s, maybe considered late 20th century, but often associated with 1969.
    *   Let's consider **Square Enix**. Square founded 1975, Enix founded 1975. Merged 2003.
    *   Let's consider **Sega**. Founded 1960 (as Service Games), 1969 (as Sega Enterprises).
    *   Let's consider **Nintendo**. Founded 1889 (too early).
    *   Let's consider **Kojima Productions**. Too new.
    *   Let's consider **FromSoftware**. Founded 1986. (Elden Ring, Dark Souls - action franchises, but animated series? Not really a major one yet compared to others).
    *   Let's consider **Blizzard**. Not Japanese.
    *   Let's consider **Bandai Namco**. Bandai 1950, Namco 1955.

    *   Re-evaluating the clue: "animated series adapted from an action video game franchise".
    *   Maybe it refers to the *Castlevania* Netflix series? That was very popular. Company: Konami. Founded: 1969.
    *   Maybe it refers to *Resident Evil: Infinite Darkness*? Company: Capcom. Founded: 1979.
    *   Maybe it refers to *The Last of Us*? Not Japanese (Naughty Dog/Sony).
    *   Maybe it refers to *Cyberpunk: Edgerunners*? Not Japanese game company (CD Projekt).
    *   Maybe it refers to *Halo*? Not Japanese.
    *   Maybe it refers to *Uncharted*? Not Japanese.
    *   Maybe it refers to *Tomb Raider*? Not Japanese.
    *   Maybe it refers to *Devil May Cry*? Capcom.
    *   Maybe it refers to *Street Fighter*? Capcom.
    *   Maybe it refers to *Final Fantasy*? Square.
    *   Maybe it refers to *Sonic Prime*? Sega.

    *   Is there a specific riddle-like quality? "Late 20th century" usually means 1970s-1990s.
    *   Most major Japanese game companies were founded in the 70s.
    *   Capcom is often associated with action games (Devil May Cry, Resident Evil, Street Fighter, Monster Hunter).
    *   Konami is associated with Castlevania, Metal Gear.
    *   Square Enix is associated with RPGs mostly, though Kingdom Hearts (Action).
    *   Sega is associated with Sonic (Action Platformer).

    *   Let's search for the phrasing. This looks like a specific trivia question.
    *   "Animated series adapted from an action video game franchise created by a well-known Japanese entertainment company."
    *   Could it be **Capcom**? Founded 1979.
    *   Could it be **Konami**? Founded 1969.
    *   Could it be **Square**? Founded 1975.
    *   Could it be **Namco**? Founded 1955.
    *   Could it be **Koei**? Founded 1978.
    *   Could it be **Tecmo**? Founded 1967.
    *   Could it be **Atlus**? Founded 1986. (Persona anime).
    *   Could it be **Level-5**? Founded 1998. (Professor Layton, Yo-kai Watch).
    *   Could it be **PlatinumGames**? Founded 2006 (too late).

    *   Let's think about the most prominent "Action Video Game Franchise" with an "Animated Series".
    *   *Castlevania* (Netflix) is highly acclaimed. Konami founded 1969.
    *   *Resident Evil* (Netflix/CGI). Capcom founded 1979.
    *   *Sonic Prime* (Netflix). Sega founded 1960/1969.
    *   *Cyberpunk* (not Japanese).
    *   *Arcane* (Riot, not Japanese).
    *   *Halo* (not Japanese).
    *   *The Last of Us* (not Japanese).
    *   *Fallout* (not Japanese).
    *   *God of War* (not Japanese).
    *   *Spider-Man* (not Japanese).
    *   *Batman* (not Japanese).
    *   *Transformers* (not Japanese game).
    *   *Pokemon* (Nintendo/Game Freak/Creatures). Nintendo 1889. Game Freak 1989.
    *   *Digimon* (Bandai). 1950.
    *   *Yu-Gi-Oh* (Konami). 1969.
    *   *Dragon Ball* (Not a game franchise originally).
    *   *Naruto* (Not a game franchise originally).
    *   *One Piece* (Not a game franchise originally).

    *   Wait, is there a specific company known for this description?
    *   "Established in the late 20th century". 1969 is late 60s. 1979 is late 70s. 1989 is late 80s.
    *   If the answer is **1979** (Capcom).
    *   If the answer is **1969** (Konami).
    *   If the answer is **1975** (Square/Enix).
    *   If the answer is **1986** (Atlus/FromSoft).
    *   If the answer is **1998** (Level-5).

    *   Let's consider the phrase "action video game franchise".
    *   Capcom is famously an "Action" company (Street Fighter, Resident Evil, Devil May Cry, Monster Hunter, Mega Man).
    *   Konami is famous for Metal Gear (Action/Stealth), Castlevania (Action).
    *   Square is famous for RPGs.
    *   Sega is famous for Sonic (Action).

    *   Is there a specific animated series that defines this?
    *   *Castlevania* (2017) was a huge hit.
