Question ID: 78
Question: 有一位 20 世纪 70 年代出生的欧洲编剧兼作家，其哥哥和妻子均为导演。他的哥哥曾依据他创作的短篇小说拍摄了分为两条叙事线展开的电影。而他与妻子共同创作并编剧了多部电视剧。请问，在 2024 年夫妻二人共同创作的电视剧的中文译名叫什么？不要加任何标点符号。

Reasoning:
Thinking Process:

1.  **Analyze the Request:**
    *   Target: A European screenwriter/writer born in the 1970s.
    *   Family connections: His brother is a director, his wife is a director.
    *   Brother's work: The brother directed a film based on the target's short story, featuring two narrative lines.
    *   Collaboration: He and his wife co-created and wrote multiple TV series.
    *   Question: What is the Chinese translated title of the TV series they co-created in 2024?
    *   Constraint: Direct answer only, no reasoning, no extra text, no punctuation.

2.  **Identify the Person:**
    *   European, born in the 1970s.
    *   Brother is a director, wife is a director.
    *   Brother directed a film based on his short story with two narrative lines.
    *   Co-creates TV series with wife.
    *   2024 TV series collaboration.

    *   *Search Query Ideas:* "European screenwriter born 1970s brother director wife director", "brother directed film based on short story two narrative lines", "husband wife screenwriting duo 2024 TV series".
    *   *Potential Candidate:* The Dardenne brothers? No, they are both directors.
    *   *Potential Candidate:* Luc and Jean-Pierre Dardenne? No.
    *   *Potential Candidate:* Paolo Sorrentino? No.
    *   *Potential Candidate:* **Jesse Armstrong**? No, British, wife not director.
    *   *Potential Candidate:* **Sam Levinson**? No, American.
    *   *Potential Candidate:* **Duncan Jones**? No.
    *   *Potential Candidate:* **Charlie Kaufman**? No.
    *   *Potential Candidate:* **Joachim Trier**? Norwegian, born 1974. Brother? Wife?
    *   *Potential Candidate:* **Lukas Moodysson**? Swedish.
    *   *Potential Candidate:* **Ruben Östlund**? Swedish, born 1974. Wife?
    *   *Potential Candidate:* **Guillermo del Toro**? No.
    *   *Potential Candidate:* **Alejandro González Iñárritu**? No.
    *   *Potential Candidate:* **Alfonso Cuarón**? No.

    *   *Let's focus on the "Brother directed film based on short story with two narrative lines" clue.*
    *   *Let's focus on "Wife is a director" and "Co-created multiple TV series".*
    *   *Let's focus on "2024 TV series".*

    *   *Candidate:* **Jesse Armstrong** (Succession)? Wife is Fiona Shaw? No.
    *   *Candidate:* **Phoebe Waller-Bridge**? No.
    *   *Candidate:* **Nic Pizzolatto**? No.
    *   *Candidate:* **David Simon**? No.

    *   *Let's try searching for the specific film clue:* "Brother directed film based on short story two narrative lines".
    *   Maybe it's a famous European duo.
    *   **The Brothers McMullen**? No.
    *   **Coen Brothers**? No.
    *   **Dardenne Brothers**? No.

    *   *Re-evaluating the "Wife is a director" clue.*
    *   Screenwriter husband, Director wife.
    *   They co-write TV series.
    *   2024 release.

