Question ID: 72
Question: 20世纪80年代中期，一本广受欢迎的科学刊物上的一篇文章，讨论了一种针对当时某个流行个人计算机系列的磁盘传播程序。该计算机系列中，有一款以紧凑为卖点的机型，其设计上采用了独特的灰白色调，并可通过一个开关在两种不同的键盘布局间切换。就在前述文章发表的同一年，这款紧凑机型也发布了一次固件升级，旨在支持一种新型的外部存储驱动器。请问这款紧凑机型的官方英文名称是什么？

Reasoning:
Thinking Process:

1.  **Analyze the Request:**
    *   Role: Rigorous Q&A assistant.
    *   Constraint: Directly give the final answer. No reasoning process, no extra explanations, no formatting.
    *   Question Content:
        *   Time: Mid-1980s (20 世纪 80 年代中期).
        *   Context: A popular science journal article discussed a disk-spreading program (virus/worm) targeting a popular personal computer series of that time.
        *   Computer Series: A popular PC series at the time.
        *   Specific Model: A compact model within that series.
        *   Design Features: Unique grey-white color scheme, switchable between two different keyboard layouts via a switch.
        *   Event: In the same year the article was published, this compact model received a firmware update to support a new type of external storage drive.
        *   Target: The official English name of this compact model.

2.  **Deconstruct the Clues:**
    *   **Mid-1980s + Popular Science Journal + Disk-spreading program:** This likely refers to the "Brain" virus (1986) or perhaps the "Elk Cloner" (1982, too early) or "Morris Worm" (1988, network). The "Brain" virus is often cited as the first PC virus, spreading via floppy disks. It targeted IBM PC compatibles. However, the description mentions a specific computer series with a compact model.
    *   **Computer Series:** Popular in the mid-80s. IBM PC? Apple II? Commodore 64?
    *   **Compact Model Features:**
        *   Compact form factor.
        *   Unique grey-white color scheme (beige/grey).
        *   **Switchable keyboard layout via a switch:** This is a very specific hardware feature.
    *   **Firmware Update + External Storage Drive:** Same year as the article. Support for a new external drive (likely a floppy drive variant, e.g., 3.5-inch vs 5.25-inch, or a hard drive).

3.  **Identify the Computer:**
    *   "Switchable keyboard layout via a switch" is a strong clue.
    *   Apple IIc? It was compact, off-white/beige. Did it have a keyboard switch? The Apple IIc had a keyboard layout switch (US/International or Uppercase/Lowercase? Actually, the IIc had a switch for keyboard layout between US and European/International characters on some versions, or specifically the **Apple IIc** had a switch for keyboard lock/repeat? No.)
    *   Let's look at the **Apple IIc**. Released 1984. Compact. Off-white ("Snow White" design language).
    *   Keyboard switch: The Apple IIc had a switch on the side? No.
    *   Let's consider the **IBM PC Convertible**? (1986). Laptop.
    *   Let's consider the **Commodore 64**? No switchable layout.
    *   Let's consider the **Apple IIc** again. It had a "keyboard lock" switch? No.
    *   Wait, the **Apple IIc** had a switch to change between **80-column** and **40-column**? No, that was software/card.
    *   What about the **IBM PCjr**? (1984). Chiclet keyboard.
    *   What about the **Tandy TRS-80 Model 100**? Portable.
    *   Let's focus on "Switchable keyboard layout via a switch" (可通过一个开关在两种不同的键盘布局间切换).
    *   This sounds like the **Apple IIc**'s feature regarding keyboard layout (US vs International) or perhaps the **Macintosh Portable**? No.
    *   Actually, there is a specific machine known for this: The **Apple IIc**. Some sources mention a keyboard switch. But let's verify.
    *   Wait, the **Apple IIc** had a switch for the keyboard? The **Apple IIc** (original) had a switch on the back for voltage? No.
    *   Let's search for "computer switchable keyboard layout switch 1980s".
    *   Maybe it's the **IBM PC Convertible**?
    *   Maybe it's the **Commodore 128**? It had a switch for C64 mode vs C128 mode? That's not keyboard layout.
    *   Let's reconsider the "disk-spreading program" article.
    *   1986, Scientific American? "Computer Viruses"?
    *   In 1986, the "Brain" virus appeared.
    *   Is there a specific article in a popular science journal (e.g., *Scientific American*, *Popular Science*, *Byte*)?
    *   A famous article about computer viruses in the mid-80s is "The Computer Virus" by A.K. Dewdney in *Scientific American* (1985? 1986?). Actually, Dewdney's "Computer Recreations" column discussed viruses later.
    *   Let's focus on the hardware clue: "Compact model", "Grey-white", "Switch for keyboard layout".
    *   This strongly points to the **Apple IIc**.
    *   Why? The Apple IIc is iconic for its "Snow White" design (off-white/greyish). It is compact.
    *   Did it have a keyboard layout switch? The **Apple IIc** had a switch on the underside? No.
    *   Wait, the **Apple IIc** had a **keyboard lock** switch on the side? No.
    *   Is it the **Apple IIc Plus**? (1988).
    *   Let's search for "Apple IIc keyboard layout switch".
